committee_id,committee_name,cycle,total,count,employer
C00693234,"WARREN FOR PRESIDENT, INC.",2020,36772.85,261,HARVARD UNIVERSITY
C00693234,"WARREN FOR PRESIDENT, INC.",2020,22991.44,175,UNIVERSITY OF MICHIGAN
C00693234,"WARREN FOR PRESIDENT, INC.",2020,19023.41,143,YALE UNIVERSITY
C00693234,"WARREN FOR PRESIDENT, INC.",2020,18919.64,159,MIT
C00693234,"WARREN FOR PRESIDENT, INC.",2020,18697.5,39,HARVARD LAW SCHOOL
C00693234,"WARREN FOR PRESIDENT, INC.",2020,18694.27,159,UNIVERSITY OF CALIFORNIA
C00693234,"WARREN FOR PRESIDENT, INC.",2020,18165.08,142,UNIVERSITY OF PENNSYLVANIA
C00693234,"WARREN FOR PRESIDENT, INC.",2020,16124.19,248,UC BERKELEY
C00693234,"WARREN FOR PRESIDENT, INC.",2020,14920.28,196,UNIVERSITY OF WASHINGTON
C00693234,"WARREN FOR PRESIDENT, INC.",2020,14380.85,179,UCLA
C00696948,BERNIE 2020,2020,17367.17,233,UNIVERSITY OF MICHIGAN
C00696948,BERNIE 2020,2020,16680.81,195,HARVARD UNIVERSITY
C00696948,BERNIE 2020,2020,15286.64,341,UCLA
C00696948,BERNIE 2020,2020,13860.17,141,UNIVERSITY OF CHICAGO
C00696948,BERNIE 2020,2020,13811.39,364,UNIVERSITY OF WASHINGTON
C00696948,BERNIE 2020,2020,13634.51,262,UC BERKELEY
C00696948,BERNIE 2020,2020,12559,131,UNIVERSITY OF CALIFORNIA
C00696948,BERNIE 2020,2020,12460.38,186,COLUMBIA UNIVERSITY
C00696948,BERNIE 2020,2020,10366.96,139,STANFORD UNIVERSITY
C00696948,BERNIE 2020,2020,10248.1,49,UNIVERSITY OF ILLINOIS
C00695510,CORY 2020,2020,37981.67,108,STANFORD UNIVERSITY
C00695510,CORY 2020,2020,19662.26,24,COLUMBIA UNIVERSITY
C00695510,CORY 2020,2020,10036.38,64,RUTGERS UNIVERSITY
C00695510,CORY 2020,2020,6100,6,EASTWICK COLLEGE
C00695510,CORY 2020,2020,5800,6,NEW YORK UNIVERSITY
C00695510,CORY 2020,2020,5600,3,BERKELEY COLLEGE
C00695510,CORY 2020,2020,4488.22,17,UNIVERSITY OF WASHINGTON
C00695510,CORY 2020,2020,4300,2,UNIVERSITY OF KANSAS
C00695510,CORY 2020,2020,4200,3,NYU SCHOOL OF MEDICINE
C00695510,CORY 2020,2020,3730.62,16,MIT